wsi_id,train,val,test
BRACS_1506,true,false,false
BRACS_1510,false,true,false
BRACS_1788,true,false,false
BRACS_1838,false,true,false
BRACS_1003693,true,false,false
BRACS_1774,true,false,false
BRACS_1775,true,false,false
BRACS_1871,true,false,false
BRACS_1778,true,false,false
BRACS_1815,true,false,false
BRACS_1865,false,true,false
BRACS_1777,true,false,false
BRACS_1968,true,false,false
BRACS_743,true,false,false
BRACS_1857,true,false,false
BRACS_1971,true,false,false
BRACS_1239,true,false,false
BRACS_1926,false,true,false
BRACS_1858,true,false,false
BRACS_1319,true,false,false
BRACS_1916,true,false,false
BRACS_1257,true,false,false
BRACS_1250,true,false,false
BRACS_1773,false,true,false
BRACS_1610,true,false,false
BRACS_1799,true,false,false
BRACS_1886,true,false,false
BRACS_1975,false,true,false
BRACS_3266,true,false,false
BRACS_3285,true,false,false
BRACS_1915,true,false,false
BRACS_3318,true,false,false
BRACS_1912,true,false,false
BRACS_1499,true,false,false
BRACS_1913,true,false,false
BRACS_1863,true,false,false
BRACS_1899,true,false,false
BRACS_1882,false,true,false
BRACS_1932,true,false,false
BRACS_1379,true,false,false
BRACS_1969,false,true,false
BRACS_1861,true,false,false
BRACS_1925,true,false,false
BRACS_1877,true,false,false
BRACS_1934,true,false,false
BRACS_1795,false,true,false
BRACS_1808,true,false,false
BRACS_1911,true,false,false
BRACS_1003728,false,true,false
BRACS_1616,true,false,false
BRACS_1494,false,true,false
BRACS_1622,true,false,false
BRACS_1860,true,false,false
BRACS_1922,true,false,false
BRACS_1933,false,true,false
BRACS_1987,true,false,false
BRACS_1486,true,false,false
BRACS_1794,true,false,false
BRACS_1271,true,false,false
BRACS_1797,true,false,false
BRACS_1876,false,true,false
BRACS_1885,true,false,false
BRACS_1953,true,false,false
BRACS_1977,true,false,false
BRACS_1982,true,false,false
BRACS_1983,true,false,false
BRACS_1786,true,false,false
BRACS_1003685,true,false,false
BRACS_1618,true,false,false
BRACS_1959,true,false,false
BRACS_1642,true,false,false
BRACS_1785,false,true,false
BRACS_1793,true,false,false
BRACS_1244,true,false,false
BRACS_1918,false,true,false
BRACS_3278,false,true,false
BRACS_1787,true,false,false
BRACS_1958,true,false,false
BRACS_1606,true,false,false
BRACS_1789,true,false,false
BRACS_1780,true,false,false
BRACS_1792,true,false,false
BRACS_1337,true,false,false
BRACS_1594,true,false,false
BRACS_1834,true,false,false
BRACS_1617,true,false,false
BRACS_1873,false,true,false
BRACS_1836,true,false,false
BRACS_3313,true,false,false
BRACS_3317,false,true,false
BRACS_1003707,false,true,false
BRACS_1957,true,false,false
BRACS_1997,true,false,false
BRACS_1881,false,true,false
BRACS_1996,true,false,false
BRACS_1949,true,false,false
BRACS_3273,true,false,false
BRACS_1003705,true,false,false
BRACS_1596,false,true,false
BRACS_1495,true,false,false
BRACS_1914,true,false,false
BRACS_1993,true,false,false
BRACS_1604,true,false,false
BRACS_2005,true,false,false
BRACS_1946,true,false,false
BRACS_2001,true,false,false
BRACS_1783,true,false,false
BRACS_1995,false,true,false
BRACS_1782,true,false,false
BRACS_1791,false,true,false
BRACS_1409,true,false,false
BRACS_1917,true,false,false
BRACS_1335,false,true,false
BRACS_1581,true,false,false
BRACS_1326,true,false,false
BRACS_1667,true,false,false
BRACS_1837,true,false,false
BRACS_1498,true,false,false
BRACS_3310,true,false,false
BRACS_1963,true,false,false
BRACS_1621,true,false,false
BRACS_1270,false,true,false
BRACS_1003660,true,false,false
BRACS_1003661,true,false,false
BRACS_1295,true,false,false
BRACS_1591,true,false,false
BRACS_1592,true,false,false
BRACS_1595,true,false,false
BRACS_1609,false,true,false
BRACS_265,true,false,false
BRACS_3284,true,false,false
BRACS_1603,true,false,false
BRACS_1660,false,true,false
BRACS_3337,true,false,false
BRACS_3300,false,true,false
BRACS_1593,true,false,false
BRACS_1994,true,false,false
BRACS_3298,true,false,false
BRACS_1003724,true,false,false
BRACS_3296,true,false,false
BRACS_3295,false,true,false
BRACS_1321,true,false,false
BRACS_1980,true,false,false
BRACS_1967,true,false,false
BRACS_3279,true,false,false
BRACS_1608,true,false,false
BRACS_3311,false,true,false
BRACS_1003669,false,true,false
BRACS_1424,true,false,false
BRACS_3270,true,false,false
BRACS_1423,true,false,false
BRACS_1336,true,false,false
BRACS_1964,true,false,false
BRACS_1276,true,false,false
BRACS_3271,true,false,false
BRACS_1003668,false,true,false
BRACS_1275,false,true,false
BRACS_1841,false,true,false
BRACS_3309,true,false,false
BRACS_1988,true,false,false
BRACS_1902,true,false,false
BRACS_1668,true,false,false
BRACS_1003700,true,false,false
BRACS_1003710,true,false,false
BRACS_1669,true,false,false
BRACS_1656,true,false,false
BRACS_1322,true,false,false
BRACS_1879,true,false,false
BRACS_1003686,true,false,false
BRACS_1989,true,false,false
BRACS_1003730,true,false,false
BRACS_3274,true,false,false
BRACS_1796,true,false,false
BRACS_745,true,false,false
BRACS_1003658,true,false,false
BRACS_1003725,true,false,false
BRACS_1582,true,false,false
BRACS_3268,true,false,false
BRACS_1327,true,false,false
BRACS_1329,false,true,false
BRACS_1640,true,false,false
BRACS_1003659,false,true,false
BRACS_1324,true,false,false
BRACS_1325,true,false,false
BRACS_1003734,false,true,false
BRACS_1869,true,false,false
BRACS_3269,false,true,false
BRACS_1253,true,false,false
BRACS_1962,true,false,false
BRACS_1965,true,false,false
BRACS_1784,true,false,false
BRACS_1631,true,false,false
BRACS_2002,true,false,false
BRACS_3281,true,false,false
BRACS_2000,false,true,false
BRACS_1003671,true,false,false
BRACS_1866,true,false,false
BRACS_1960,true,false,false
BRACS_3272,true,false,false
BRACS_1493,true,false,false
BRACS_3336,true,false,false
BRACS_1251,true,false,false
BRACS_1485,false,true,false
BRACS_1408,true,false,false
BRACS_1986,true,false,false
BRACS_1890,true,false,false
BRACS_1666,false,true,false
BRACS_1901,false,true,false
BRACS_1255,true,false,false
BRACS_1772,true,false,false
BRACS_1248,false,true,false
BRACS_1904,true,false,false
BRACS_1480,true,false,false
BRACS_1583,false,true,false
BRACS_1779,true,false,false
BRACS_1839,true,false,false
BRACS_3312,true,false,false
BRACS_1240,true,false,false
BRACS_1661,true,false,false
BRACS_1659,true,false,false
BRACS_3276,true,false,false
BRACS_1634,true,false,false
BRACS_1966,true,false,false
BRACS_1259,false,true,false
BRACS_1274,true,false,false
BRACS_1900,true,false,false
BRACS_3335,false,true,false
BRACS_3334,true,false,false
BRACS_1655,true,false,false
BRACS_1483,true,false,false
BRACS_1961,true,false,false
BRACS_1508,true,false,false
BRACS_1249,true,false,false
BRACS_1665,false,true,false
BRACS_760,true,false,false
BRACS_1633,false,true,false
BRACS_1620,true,false,false
BRACS_1948,false,true,false
BRACS_1612,true,false,false
BRACS_1664,false,true,false
BRACS_1003706,true,false,false
BRACS_3283,true,false,false
BRACS_1832,true,false,false
BRACS_1880,true,false,false
BRACS_1003672,true,false,false
BRACS_761,true,false,false
BRACS_758,true,false,false
BRACS_1972,true,false,false
BRACS_1273,false,true,false
BRACS_1924,true,false,false
BRACS_1370,false,true,false
BRACS_1320,true,false,false
BRACS_1511,true,false,false
BRACS_1338,true,false,false
BRACS_1318,true,false,false
BRACS_1833,true,false,false
BRACS_1905,false,true,false
BRACS_1242,true,false,false
BRACS_1241,true,false,false
BRACS_1605,true,false,false
BRACS_1893,true,false,false
BRACS_2004,true,false,false
BRACS_3316,true,false,false
BRACS_1654,true,false,false
BRACS_1637,true,false,false
BRACS_1407,true,false,false
BRACS_1231,true,false,false
BRACS_1635,true,false,false
BRACS_1830,true,false,false
BRACS_288,true,false,false
BRACS_1484,true,false,false
BRACS_1003678,true,false,false
BRACS_757,false,true,false
BRACS_1636,true,false,false
BRACS_1638,true,false,false
BRACS_1003731,false,true,false
BRACS_1003722,true,false,false
BRACS_1646,true,false,false
BRACS_1287,true,false,false
BRACS_754,true,false,false
BRACS_3321,true,false,false
BRACS_1272,true,false,false
BRACS_1358,true,false,false
BRACS_1277,false,true,false
BRACS_1648,true,false,false
BRACS_1516,false,true,false
BRACS_1279,true,false,false
BRACS_1292,true,false,false
BRACS_1831,true,false,false
BRACS_3289,true,false,false
BRACS_750,true,false,false
BRACS_1477,true,false,false
BRACS_759,true,false,false
BRACS_1235,false,true,false
BRACS_749,true,false,false
BRACS_752,true,false,false
BRACS_291,true,false,false
BRACS_1003698,false,true,false
BRACS_1357,true,false,false
BRACS_1003677,true,false,false
BRACS_1356,true,false,false
BRACS_283,true,false,false
BRACS_1263,true,false,false
BRACS_298,true,false,false
BRACS_1232,false,true,false
BRACS_1003692,true,false,false
BRACS_1487,false,true,false
BRACS_1003667,true,false,false
BRACS_3308,true,false,false
BRACS_1406,false,true,false
BRACS_1003699,true,false,false
BRACS_1875,true,false,false
BRACS_3305,true,false,false
BRACS_1003708,true,false,false
BRACS_773,true,false,false
BRACS_280,false,true,false
BRACS_1478,false,true,false
BRACS_3290,false,true,false
BRACS_295,true,false,false
BRACS_1360,true,false,false
BRACS_3293,true,false,false
BRACS_748,true,false,false
BRACS_3315,true,false,false
BRACS_281,true,false,false
BRACS_1003673,true,false,false
BRACS_3294,false,true,false
BRACS_311,true,false,false
BRACS_1003709,true,false,false
BRACS_1233,true,false,false
BRACS_1374,true,false,false
BRACS_756,true,false,false
BRACS_1003723,true,false,false
BRACS_1647,false,true,false
BRACS_1289,true,false,false
BRACS_1639,true,false,false
BRACS_1265,true,false,false
BRACS_3320,true,false,false
BRACS_1650,true,false,false
BRACS_1828,true,false,false
BRACS_3291,true,false,false
BRACS_1649,true,false,false
BRACS_1643,false,true,false
BRACS_1003732,true,false,false
BRACS_1293,false,true,false
BRACS_1288,true,false,false
BRACS_1003684,true,false,false
BRACS_753,false,true,false
BRACS_1003721,true,false,false
BRACS_3314,true,false,false
BRACS_3319,false,true,false
BRACS_1003703,true,false,false
BRACS_1827,true,false,false
BRACS_1984,true,false,false
BRACS_1812,true,false,false
BRACS_1810,true,false,false
BRACS_747,false,true,false
BRACS_1003670,true,false,false
BRACS_297,true,false,false
BRACS_1652,true,false,false
BRACS_734,true,false,false
BRACS_1003727,true,false,false
BRACS_1829,true,false,false
BRACS_1361,true,false,false
BRACS_1362,true,false,false
BRACS_1368,true,false,false
BRACS_1392,true,false,false
BRACS_1393,true,false,false
BRACS_1394,true,false,false
BRACS_1395,false,true,false
BRACS_1798,true,false,false
BRACS_3301,true,false,false
BRACS_738,true,false,false
BRACS_739,false,true,false
BRACS_740,false,true,false
BRACS_1921,true,false,false
BRACS_1003697,false,true,false
BRACS_1238,true,false,false
BRACS_1247,false,true,false
BRACS_1366,true,false,false
BRACS_1367,true,false,false
BRACS_1369,true,false,false
BRACS_1489,true,false,false
BRACS_1490,false,true,false
BRACS_1491,false,true,false
BRACS_1492,true,false,false
BRACS_1496,true,false,false
BRACS_1497,true,false,false
BRACS_1509,true,false,false
BRACS_1512,true,false,false
BRACS_1514,true,false,false
BRACS_1515,true,false,false
BRACS_1607,true,false,false
BRACS_1653,true,false,false
BRACS_1771,true,false,false
BRACS_1811,true,false,false
BRACS_1816,true,false,false
BRACS_1835,true,false,false
BRACS_1840,true,false,false
BRACS_1862,true,false,false
BRACS_1864,false,true,false
BRACS_1874,false,true,false
BRACS_1883,false,true,false
BRACS_1888,true,false,false
BRACS_1903,true,false,false
BRACS_1919,true,false,false
BRACS_1920,true,false,false
BRACS_1923,true,false,false
BRACS_1927,true,false,false
BRACS_1928,true,false,false
BRACS_1929,true,false,false
BRACS_1930,true,false,false
BRACS_1931,true,false,false
BRACS_1935,true,false,false
BRACS_1947,true,false,false
BRACS_1950,true,false,false
BRACS_1970,true,false,false
BRACS_762,true,false,false
BRACS_755,true,false,false
BRACS_737,false,true,false
BRACS_736,true,false,false
BRACS_735,false,true,false
BRACS_1814,false,false,true
BRACS_1936,false,false,true
BRACS_300,false,false,true
BRACS_1941,false,false,true
BRACS_1943,false,false,true
BRACS_1944,false,false,true
BRACS_1955,false,false,true
BRACS_2007,false,false,true
BRACS_1813,false,false,true
BRACS_1954,false,false,true
BRACS_1937,false,false,true
BRACS_1228,false,false,true
BRACS_1892,false,false,true
BRACS_1825,false,false,true
BRACS_1589,false,false,true
BRACS_1844,false,false,true
BRACS_1003694,false,false,true
BRACS_1895,false,false,true
BRACS_1856,false,false,true
BRACS_1938,false,false,true
BRACS_1003691,false,false,true
BRACS_1849,false,false,true
BRACS_1503,false,false,true
BRACS_1619,false,false,true
BRACS_1853,false,false,true
BRACS_1952,false,false,true
BRACS_1824,false,false,true
BRACS_1848,false,false,true
BRACS_1416,false,false,true
BRACS_1334,false,false,true
BRACS_1896,false,false,true
BRACS_1821,false,false,true
BRACS_264,false,false,true
BRACS_1940,false,false,true
BRACS_1942,false,false,true
BRACS_1906,false,false,true
BRACS_1847,false,false,true
BRACS_1845,false,false,true
BRACS_1846,false,false,true
BRACS_1412,false,false,true
BRACS_1843,false,false,true
BRACS_1850,false,false,true
BRACS_3324,false,false,true
BRACS_1870,false,false,true
BRACS_1851,false,false,true
BRACS_1852,false,false,true
BRACS_1842,false,false,true
BRACS_1330,false,false,true
BRACS_3323,false,false,true
BRACS_1286,false,false,true
BRACS_1578,false,false,true
BRACS_1823,false,false,true
BRACS_1411,false,false,true
BRACS_301,false,false,true
BRACS_1284,false,false,true
BRACS_1910,false,false,true
BRACS_310,false,false,true
BRACS_1414,false,false,true
BRACS_1413,false,false,true
BRACS_1590,false,false,true
BRACS_292,false,false,true
BRACS_286,false,false,true
BRACS_1826,false,false,true
BRACS_305,false,false,true
BRACS_1817,false,false,true
BRACS_1580,false,false,true
BRACS_1908,false,false,true
BRACS_1587,false,false,true
BRACS_1945,false,false,true
BRACS_1897,false,false,true
BRACS_1878,false,false,true
BRACS_1872,false,false,true
BRACS_1867,false,false,true
BRACS_1602,false,false,true
BRACS_1597,false,false,true
BRACS_1588,false,false,true
BRACS_1476,false,false,true
BRACS_1474,false,false,true
BRACS_1283,false,false,true
BRACS_1473,false,false,true
