index,train,val,test
0,BRACS_1506,BRACS_1003693,BRACS_1814
1,BRACS_1510,BRACS_1774,BRACS_1936
2,BRACS_1788,BRACS_1871,BRACS_300
3,BRACS_1838,BRACS_1815,BRACS_1941
4,BRACS_1775,BRACS_1319,BRACS_1943
5,BRACS_1778,BRACS_1257,BRACS_1944
6,BRACS_1865,BRACS_1899,BRACS_1955
7,BRACS_1777,BRACS_1379,BRACS_2007
8,BRACS_1968,BRACS_1861,BRACS_1813
9,BRACS_743,BRACS_1911,BRACS_1954
10,BRACS_1857,BRACS_1622,BRACS_1937
11,BRACS_1971,BRACS_1486,BRACS_1228
12,BRACS_1239,BRACS_1794,BRACS_1892
13,BRACS_1926,BRACS_1642,BRACS_1825
14,BRACS_1858,BRACS_1244,BRACS_1589
15,BRACS_1916,BRACS_1606,BRACS_1844
16,BRACS_1250,BRACS_1780,BRACS_1003694
17,BRACS_1773,BRACS_1957,BRACS_1895
18,BRACS_1610,BRACS_1997,BRACS_1856
19,BRACS_1799,BRACS_1949,BRACS_1938
20,BRACS_1886,BRACS_1003705,BRACS_1003691
21,BRACS_1975,BRACS_1914,BRACS_1849
22,BRACS_3266,BRACS_1409,BRACS_1503
23,BRACS_3285,BRACS_3310,BRACS_1619
24,BRACS_1915,BRACS_1003661,BRACS_1853
25,BRACS_3318,BRACS_265,BRACS_1952
26,BRACS_1912,BRACS_1603,BRACS_1824
27,BRACS_1499,BRACS_1593,BRACS_1848
28,BRACS_1913,BRACS_3298,BRACS_1416
29,BRACS_1863,BRACS_1980,BRACS_1334
30,BRACS_1882,BRACS_3279,BRACS_1896
31,BRACS_1932,BRACS_3270,BRACS_1821
32,BRACS_1969,BRACS_1423,BRACS_264
33,BRACS_1925,BRACS_3309,BRACS_1940
34,BRACS_1877,BRACS_1988,BRACS_1942
35,BRACS_1934,BRACS_1003710,BRACS_1906
36,BRACS_1795,BRACS_1879,BRACS_1847
37,BRACS_1808,BRACS_1003686,BRACS_1845
38,BRACS_1003728,BRACS_3274,BRACS_1846
39,BRACS_1616,BRACS_3268,BRACS_1412
40,BRACS_1494,BRACS_1784,BRACS_1843
41,BRACS_1860,BRACS_1960,BRACS_1850
42,BRACS_1922,BRACS_1493,BRACS_3324
43,BRACS_1933,BRACS_1480,BRACS_1870
44,BRACS_1987,BRACS_3312,BRACS_1851
45,BRACS_1271,BRACS_1240,BRACS_1852
46,BRACS_1797,BRACS_1661,BRACS_1842
47,BRACS_1876,BRACS_1900,BRACS_1330
48,BRACS_1885,BRACS_3283,BRACS_3323
49,BRACS_1953,BRACS_758,BRACS_1286
50,BRACS_1977,BRACS_1833,BRACS_1578
51,BRACS_1982,BRACS_1241,BRACS_1823
52,BRACS_1983,BRACS_1654,BRACS_1411
53,BRACS_1786,BRACS_1287,BRACS_301
54,BRACS_1003685,BRACS_1358,BRACS_1284
55,BRACS_1618,BRACS_1292,BRACS_1910
56,BRACS_1959,BRACS_750,BRACS_310
57,BRACS_1785,BRACS_291,BRACS_1414
58,BRACS_1793,BRACS_3308,BRACS_1413
59,BRACS_1918,BRACS_1003699,BRACS_1590
60,BRACS_3278,BRACS_1875,BRACS_292
61,BRACS_1787,BRACS_295,BRACS_286
62,BRACS_1958,BRACS_3315,BRACS_1826
63,BRACS_1789,BRACS_281,BRACS_305
64,BRACS_1792,BRACS_756,BRACS_1817
65,BRACS_1337,BRACS_1003723,BRACS_1580
66,BRACS_1594,BRACS_1003703,BRACS_1908
67,BRACS_1834,BRACS_1984,BRACS_1587
68,BRACS_1617,BRACS_1810,BRACS_1945
69,BRACS_1873,BRACS_1003670,BRACS_1897
70,BRACS_1836,BRACS_734,BRACS_1878
71,BRACS_3313,BRACS_1829,BRACS_1872
72,BRACS_3317,BRACS_1362,BRACS_1867
73,BRACS_1003707,BRACS_1392,BRACS_1602
74,BRACS_1881,BRACS_1394,BRACS_1597
75,BRACS_1996,BRACS_1238,BRACS_1588
76,BRACS_3273,BRACS_1367,BRACS_1476
77,BRACS_1596,BRACS_1369,BRACS_1474
78,BRACS_1495,BRACS_1653,BRACS_1283
79,BRACS_1993,BRACS_1840,BRACS_1473
80,BRACS_1604,BRACS_1919,
81,BRACS_2005,BRACS_1923,
82,BRACS_1946,BRACS_1930,
83,BRACS_2001,BRACS_1935,
84,BRACS_1783,,
85,BRACS_1995,,
86,BRACS_1782,,
87,BRACS_1791,,
88,BRACS_1917,,
89,BRACS_1335,,
90,BRACS_1581,,
91,BRACS_1326,,
92,BRACS_1667,,
93,BRACS_1837,,
94,BRACS_1498,,
95,BRACS_1963,,
96,BRACS_1621,,
97,BRACS_1270,,
98,BRACS_1003660,,
99,BRACS_1295,,
100,BRACS_1591,,
101,BRACS_1592,,
102,BRACS_1595,,
103,BRACS_1609,,
104,BRACS_3284,,
105,BRACS_1660,,
106,BRACS_3337,,
107,BRACS_3300,,
108,BRACS_1994,,
109,BRACS_1003724,,
110,BRACS_3296,,
111,BRACS_3295,,
112,BRACS_1321,,
113,BRACS_1967,,
114,BRACS_1608,,
115,BRACS_3311,,
116,BRACS_1003669,,
117,BRACS_1424,,
118,BRACS_1336,,
119,BRACS_1964,,
120,BRACS_1276,,
121,BRACS_3271,,
122,BRACS_1003668,,
123,BRACS_1275,,
124,BRACS_1841,,
125,BRACS_1902,,
126,BRACS_1668,,
127,BRACS_1003700,,
128,BRACS_1669,,
129,BRACS_1656,,
130,BRACS_1322,,
131,BRACS_1989,,
132,BRACS_1003730,,
133,BRACS_1796,,
134,BRACS_745,,
135,BRACS_1003658,,
136,BRACS_1003725,,
137,BRACS_1582,,
138,BRACS_1327,,
139,BRACS_1329,,
140,BRACS_1640,,
141,BRACS_1003659,,
142,BRACS_1324,,
143,BRACS_1325,,
144,BRACS_1003734,,
145,BRACS_1869,,
146,BRACS_3269,,
147,BRACS_1253,,
148,BRACS_1962,,
149,BRACS_1965,,
150,BRACS_1631,,
151,BRACS_2002,,
152,BRACS_3281,,
153,BRACS_2000,,
154,BRACS_1003671,,
155,BRACS_1866,,
156,BRACS_3272,,
157,BRACS_3336,,
158,BRACS_1251,,
159,BRACS_1485,,
160,BRACS_1408,,
161,BRACS_1986,,
162,BRACS_1890,,
163,BRACS_1666,,
164,BRACS_1901,,
165,BRACS_1255,,
166,BRACS_1772,,
167,BRACS_1248,,
168,BRACS_1904,,
169,BRACS_1583,,
170,BRACS_1779,,
171,BRACS_1839,,
172,BRACS_1659,,
173,BRACS_3276,,
