index,train,val,test
0,TCGA-3C-AALI-01Z-00-DX1,TCGA-3C-AALJ-01Z-00-DX1,TCGA-A1-A0SF-01Z-00-DX1
1,TCGA-3C-AALI-01Z-00-DX2,TCGA-A2-A0D3-01Z-00-DX1,TCGA-A1-A0SJ-01Z-00-DX1
2,TCGA-3C-AALJ-01Z-00-DX2,TCGA-A2-A0EP-01Z-00-DX1,TCGA-A2-A0CK-01Z-00-DX1
3,TCGA-3C-AALK-01Z-00-DX1,TCGA-A2-A0ER-01Z-00-DX1,TCGA-A2-A0CZ-01Z-00-DX1
4,TCGA-4H-AAAK-01Z-00-DX1,TCGA-A2-A0YC-01Z-00-DX1,TCGA-A2-A0EM-01Z-00-DX1
5,TCGA-5L-AAT0-01Z-00-DX1,TCGA-A2-A0YE-01Z-00-DX1,TCGA-A2-A0EW-01Z-00-DX1
6,TCGA-5L-AAT1-01Z-00-DX1,TCGA-A2-A0YH-01Z-00-DX1,TCGA-A2-A0T6-01Z-00-DX1
7,TCGA-5T-A9QA-01Z-00-DX1,TCGA-A2-A25E-01Z-00-DX1,TCGA-A2-A1FW-01Z-00-DX1
8,TCGA-A1-A0SD-01Z-00-DX1,TCGA-A7-A0CD-01Z-00-DX2,TCGA-A2-A1FX-01Z-00-DX1
9,TCGA-A1-A0SH-01Z-00-DX1,TCGA-A7-A0DA-01Z-00-DX2,TCGA-A2-A259-01Z-00-DX1
10,TCGA-A1-A0SI-01Z-00-DX1,TCGA-A7-A6VX-01Z-00-DX2,TCGA-A2-A25A-01Z-00-DX1
11,TCGA-A1-A0SM-01Z-00-DX1,TCGA-A8-A06Z-01Z-00-DX1,TCGA-A2-A3XU-01Z-00-DX1
12,TCGA-A1-A0SN-01Z-00-DX1,TCGA-A8-A079-01Z-00-DX1,TCGA-A2-A3XY-01Z-00-DX1
13,TCGA-A1-A0SP-01Z-00-DX1,TCGA-A8-A07E-01Z-00-DX1,TCGA-A7-A0CJ-01Z-00-DX2
14,TCGA-A1-A0SQ-01Z-00-DX1,TCGA-A8-A07G-01Z-00-DX1,TCGA-A7-A13G-01Z-00-DX1
15,TCGA-A2-A04N-01Z-00-DX1,TCGA-A8-A08C-01Z-00-DX1,TCGA-A7-A13H-01Z-00-DX2
16,TCGA-A2-A04P-01Z-00-DX1,TCGA-A8-A09A-01Z-00-DX1,TCGA-A8-A07U-01Z-00-DX1
17,TCGA-A2-A04Q-01Z-00-DX1,TCGA-A8-A09M-01Z-00-DX1,TCGA-A8-A08L-01Z-00-DX1
18,TCGA-A2-A04R-01Z-00-DX1,TCGA-AC-A2FK-01Z-00-DX1,TCGA-A8-A08R-01Z-00-DX1
19,TCGA-A2-A04T-01Z-00-DX1,TCGA-AC-A3EH-01Z-00-DX1,TCGA-A8-A08Z-01Z-00-DX1
20,TCGA-A2-A04U-01Z-00-DX1,TCGA-AC-A3QQ-01Z-00-DX1,TCGA-A8-A097-01Z-00-DX1
21,TCGA-A2-A04V-01Z-00-DX1,TCGA-AC-A62Y-01Z-00-DX1,TCGA-A8-A09Q-01Z-00-DX1
22,TCGA-A2-A04W-01Z-00-DX1,TCGA-AO-A03N-01Z-00-DX1,TCGA-AC-A2FF-01Z-00-DX1
23,TCGA-A2-A04X-01Z-00-DX1,TCGA-AO-A0JA-01Z-00-DX1,TCGA-AC-A2FG-01Z-00-DX1
24,TCGA-A2-A04Y-01Z-00-DX1,TCGA-AQ-A0Y5-01Z-00-DX1,TCGA-AC-A3TM-01Z-00-DX1
25,TCGA-A2-A0CL-01Z-00-DX1,TCGA-AR-A0TS-01Z-00-DX1,TCGA-AC-A5XS-01Z-00-DX1
26,TCGA-A2-A0CM-01Z-00-DX1,TCGA-AR-A1AS-01Z-00-DX1,TCGA-AN-A0XS-01Z-00-DX1
27,TCGA-A2-A0CO-01Z-00-DX1,TCGA-AR-A1AX-01Z-00-DX1,TCGA-AN-A0XW-01Z-00-DX1
28,TCGA-A2-A0CP-01Z-00-DX1,TCGA-AR-A24Q-01Z-00-DX1,TCGA-AO-A03T-01Z-00-DX1
29,TCGA-A2-A0CQ-01Z-00-DX1,TCGA-AR-A24T-01Z-00-DX1,TCGA-AO-A0J9-01Z-00-DX1
30,TCGA-A2-A0CR-01Z-00-DX1,TCGA-AR-A2LE-01Z-00-DX1,TCGA-AO-A0JE-01Z-00-DX1
31,TCGA-A2-A0CS-01Z-00-DX1,TCGA-B6-A0IE-01Z-00-DX1,TCGA-AO-A12D-01Z-00-DX1
32,TCGA-A2-A0CT-01Z-00-DX1,TCGA-B6-A0RM-01Z-00-DX1,TCGA-AO-A1KP-01Z-00-DX1
33,TCGA-A2-A0CU-01Z-00-DX1,TCGA-B6-A1KF-01Z-00-DX1,TCGA-AQ-A54N-01Z-00-DX1
34,TCGA-A2-A0CV-01Z-00-DX1,TCGA-BH-A0AU-01Z-00-DX1,TCGA-AQ-A7U7-01Z-00-DX1
35,TCGA-A2-A0CW-01Z-00-DX1,TCGA-BH-A0AW-01Z-00-DX1,TCGA-AR-A0TP-01Z-00-DX1
36,TCGA-A2-A0CX-01Z-00-DX1,TCGA-BH-A0B5-01Z-00-DX1,TCGA-AR-A0U3-01Z-00-DX1
37,TCGA-A2-A0CY-01Z-00-DX1,TCGA-BH-A0BC-01Z-00-DX1,TCGA-AR-A1AI-01Z-00-DX1
38,TCGA-A2-A0D0-01Z-00-DX1,TCGA-BH-A0BP-01Z-00-DX1,TCGA-AR-A1AU-01Z-00-DX1
39,TCGA-A2-A0D4-01Z-00-DX1,TCGA-BH-A0BZ-01Z-00-DX1,TCGA-AR-A24S-01Z-00-DX1
40,TCGA-A2-A0EN-01Z-00-DX1,TCGA-BH-A0C7-01Z-00-DX1,TCGA-AR-A255-01Z-00-DX1
